2023-11-20 19:41:56,973 socket_client.py [line:222] run INFO node id 2 is running on pid 30165 
2023-11-20 19:41:56,973 socket_client.py [line:52] _connect_and_send_forever INFO node 2's socket client starts to make outgoing connections on process id 30165 
2024-05-30 13:08:27,902 socket_client.py [line:222] run INFO node id 2 is running on pid 6392 
2024-05-30 13:08:27,903 socket_client.py [line:52] _connect_and_send_forever INFO node 2's socket client starts to make outgoing connections on process id 6392 
2024-05-30 13:19:43,217 socket_client.py [line:222] run INFO node id 2 is running on pid 11860 
2024-05-30 13:19:43,217 socket_client.py [line:52] _connect_and_send_forever INFO node 2's socket client starts to make outgoing connections on process id 11860 
2024-05-30 13:20:52,563 socket_client.py [line:222] run INFO node id 2 is running on pid 11922 
2024-05-30 13:20:52,563 socket_client.py [line:52] _connect_and_send_forever INFO node 2's socket client starts to make outgoing connections on process id 11922 
2024-05-30 13:32:09,070 socket_client.py [line:222] run INFO node id 2 is running on pid 12266 
2024-05-30 13:32:09,071 socket_client.py [line:52] _connect_and_send_forever INFO node 2's socket client starts to make outgoing connections on process id 12266 
2024-05-30 13:35:15,181 socket_client.py [line:222] run INFO node id 2 is running on pid 12343 
2024-05-30 13:35:15,181 socket_client.py [line:52] _connect_and_send_forever INFO node 2's socket client starts to make outgoing connections on process id 12343 
2024-05-30 13:35:22,906 socket_client.py [line:222] run INFO node id 2 is running on pid 12373 
2024-05-30 13:35:22,906 socket_client.py [line:52] _connect_and_send_forever INFO node 2's socket client starts to make outgoing connections on process id 12373 
2024-05-30 13:35:22,907 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,907 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,907 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,907 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,907 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,907 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,907 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,907 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,907 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,907 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,907 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,907 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,907 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,907 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,908 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,908 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,908 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,908 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,908 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,908 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,908 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,908 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,908 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,908 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,908 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,908 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,908 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,908 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,908 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,909 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,909 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,909 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,909 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
